text_full,labels
Какие основания для получения? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Какие условия являются обязательными для получения? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Как оформлять услугу при рождении (усыновлении) нескольких детей? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Какая сумма выплат? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Кому не положено? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Как определяется размер выплат? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Какие документы удостоверяют личность? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Какие документы предоставить при обращении представителя? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Какие заявления брать у заявителя? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Какие дополнительно документы должен предоставить заявитель? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Какие основания для отказа в приеме документов? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Какие основания для отказа в предоставлении услуги? Единовременная компенсационная выплата при рождении ребенка,Детская карта
Срок предоставления услуги? Единовременная компенсационная выплата при рождении ребенка,Детская карта
В каком случае учитываются в составе семьи пасынки и падчерицы? Единовременная компенсационная выплата при рождении ребенка,Детская карта
"Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль»)? Единовременная компенсационная выплата при рождении ребенка",Детская карта
"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) администрация какого района принимает решение?
б) сроки назначения? Единовременная компенсационная выплата при рождении ребенка",Детская карта
При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей? Единовременная компенсационная выплата при рождении ребенка,Детская карта
"Нужно ли запрашивать справку из другого субъекта Российской Федерации о неполучении аналогичных выплат при назначении ЕКВ при рождении ребенка (усыновлении в возрасте до шести месяцев) в случае переезда семьи в Санкт-Петербург, ранее аналогичную выплату получили по месту жительства. Единовременная компенсационная выплата при рождении ребенка",Детская карта
"Кто может оформить услугу? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Определение ""Дети-сироты"" Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Определение ""Дети, оставшиеся без попечения родителей"" Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Определение ""лица из числа детей-сирот и детей, оставшихся без попечения родителей"" Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Как узнать назначена ли выплата? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Когда начинает предоставлять выплата? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какие документы удостоверяют личность? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какие документы предоставить при обращении представителя? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какие документы могут подтвердить льготную категорию заявителя? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какие документы необходимо предоставить совершеннолетним? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какие документы подтверждают регистрацию заявителя? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Дополнительные документы по услуге Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Как подтвердить оплату ЖКХ? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"За какой период предоставлять подтверждение оплаты ЖКХ? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какой документ предоставить заявителю при оформлении гражданства? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какие основания для отказов в приеме документов? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какие основания для отказов в предоставлении услуги? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какой результат? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Какой срок предоставления? Предоставление мер соц. поддержки по оплате жилого помещения и коммунальных услуг детям-сиротам Оплата жилого помещения и коммунальных услуг детям-сиротам и детям, оставшимся без попечения родителей",
"Кто является получаетелм услуги? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какие условия должны быть выполнены для получения услуги? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"В какой период оформляется заявление? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какой документ , удостоверяющий личность должен предоставить заявитель? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какие документы предоставить при обращении законного представителя? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какие документы предоставить для подтверждения льготной категории? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какие документы заявителяю предоставить для подтверждения наличия собственности? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какие дополнительные документы предоставить заявителю? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какие основания для отказа в приеме документов? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какие основания для отказа в предоставлении услуги? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какой результат? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Какой срок предоставления услуги? 1. Предоставлять доп. меры социальной поддержки в виде ремонта жилых помещений для детей-сирот 2. Ремонт жилых помещений, единственными собственниками которых являются дети-сироты и дети, оставшиеся без попечения родителей",
"Кому предоставляется услуга? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какой срок подачи заявления? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"В каком случае предоставляется услуга? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"На какую сумму может рассчитывать заявитель? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какие документы, удостоверяющие личность предоставляет заявитель? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какие документы необходимо предоставить при обращении представителя? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
